Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Resumed weights from outputs/isbi2015_phase2/best_model.pt (missing=0, unexpected=0).
Checkpoint val_metrics: {'loss': 20.639675674438475, 'loss_hm': 0.3765456946690877, 'loss_re': 4.020073149998983, 'loss_fe': 16.243056818644206, 'mre_mm': 1.1324756036724961, 'mre_px': 11.324755843313117, 'sdr_2_0mm': 87.2280701754386, 'sdr_2_5mm': 92.42105263157895, 'sdr_3_0mm': 95.71929824561404, 'sdr_4_0mm': 98.17543859649123}
Epoch 44/128 | Train loss: 9.3149 (hm=0.3745, re=3.8292, fe=5.1112) | Val loss: 23.5795 (hm=0.3758, re=3.9453, fe=19.2584) | Val MRE(mm): 1.136 | SDR%(2/2.5/3/4): 86.9/92.0/95.8/98.1 | 94.0s
Epoch 45/128 | Train loss: 9.3481 (hm=0.3740, re=3.8487, fe=5.1255) | Val loss: 23.2083 (hm=0.3757, re=4.1050, fe=18.7276) | Val MRE(mm): 1.137 | SDR%(2/2.5/3/4): 86.5/92.0/95.4/98.2 | 93.8s
Epoch 46/128 | Train loss: 9.1923 (hm=0.3739, re=3.8191, fe=4.9992) | Val loss: 24.3020 (hm=0.3758, re=3.9999, fe=19.9263) | Val MRE(mm): 1.128 | SDR%(2/2.5/3/4): 86.9/92.0/95.6/98.3 | 93.8s
Epoch 47/128 | Train loss: 9.1803 (hm=0.3738, re=3.7692, fe=5.0373) | Val loss: 22.8873 (hm=0.3758, re=3.9566, fe=18.5549) | Val MRE(mm): 1.144 | SDR%(2/2.5/3/4): 86.2/92.3/95.4/98.3 | 94.0s
Epoch 48/128 | Train loss: 9.2260 (hm=0.3740, re=3.8139, fe=5.0382) | Val loss: 23.4753 (hm=0.3758, re=3.7301, fe=19.3693) | Val MRE(mm): 1.140 | SDR%(2/2.5/3/4): 86.8/92.5/95.6/98.2 | 94.0s
Epoch 49/128 | Train loss: 9.0860 (hm=0.3740, re=3.8010, fe=4.9110) | Val loss: 24.3447 (hm=0.3757, re=3.8800, fe=20.0891) | Val MRE(mm): 1.134 | SDR%(2/2.5/3/4): 86.8/92.5/95.9/98.4 | 93.9s
Epoch 50/128 | Train loss: 8.9491 (hm=0.3742, re=3.7567, fe=4.8182) | Val loss: 24.7003 (hm=0.3758, re=3.9023, fe=20.4223) | Val MRE(mm): 1.157 | SDR%(2/2.5/3/4): 85.9/91.8/95.7/98.2 | 93.9s
Epoch 51/128 | Train loss: 9.0704 (hm=0.3736, re=3.7668, fe=4.9301) | Val loss: 24.1586 (hm=0.3757, re=3.7697, fe=20.0132) | Val MRE(mm): 1.155 | SDR%(2/2.5/3/4): 86.1/92.2/95.6/98.2 | 93.9s
Epoch 52/128 | Train loss: 9.0251 (hm=0.3738, re=3.7927, fe=4.8586) | Val loss: 24.1454 (hm=0.3757, re=3.7712, fe=19.9986) | Val MRE(mm): 1.143 | SDR%(2/2.5/3/4): 86.5/92.3/95.6/98.3 | 93.8s
Epoch 53/128 | Train loss: 9.1178 (hm=0.3739, re=3.8056, fe=4.9383) | Val loss: 25.1954 (hm=0.3757, re=3.8510, fe=20.9687) | Val MRE(mm): 1.149 | SDR%(2/2.5/3/4): 86.1/91.8/95.5/98.2 | 94.0s
