/home/zeus/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Epoch 36/200 | Train loss: 37.0029 (hm=0.3758, re=7.7042, fe=28.9229) | Val loss: 37.0119 (hm=0.3775, re=7.7112, fe=28.9233) | Val MRE(mm): 76.910 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.1 | 93.9s
Epoch 37/200 | Train loss: 36.8185 (hm=0.3764, re=7.7004, fe=28.7417) | Val loss: 36.6792 (hm=0.3752, re=7.6986, fe=28.6054) | Val MRE(mm): 70.879 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.8s
Epoch 38/200 | Train loss: 36.6144 (hm=0.3740, re=7.6880, fe=28.5524) | Val loss: 36.5207 (hm=0.3762, re=7.6917, fe=28.4528) | Val MRE(mm): 65.615 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 93.9s
Epoch 39/200 | Train loss: 36.4765 (hm=0.3744, re=7.6890, fe=28.4130) | Val loss: 36.3194 (hm=0.3782, re=7.6834, fe=28.2578) | Val MRE(mm): 60.783 | SDR%(2/2.5/3/4): 0.0/0.0/0.0/0.0 | 94.0s
Epoch 40/200 | Train loss: 36.2553 (hm=0.3766, re=7.6745, fe=28.2042) | Val loss: 36.0229 (hm=0.3758, re=7.6643, fe=27.9827) | Val MRE(mm): 55.274 | SDR%(2/2.5/3/4): 0.1/0.2/0.3/0.6 | 94.0s
Epoch 41/200 | Train loss: 35.9951 (hm=0.3782, re=7.6598, fe=27.9571) | Val loss: 35.9927 (hm=0.3759, re=7.6563, fe=27.9606) | Val MRE(mm): 53.390 | SDR%(2/2.5/3/4): 0.1/0.2/0.2/0.4 | 93.9s
Epoch 42/200 | Train loss: 35.7632 (hm=0.3772, re=7.6425, fe=27.7434) | Val loss: 35.5637 (hm=0.3849, re=7.6375, fe=27.5413) | Val MRE(mm): 46.424 | SDR%(2/2.5/3/4): 1.0/1.5/1.9/3.5 | 93.8s
Epoch 43/200 | Train loss: 35.6562 (hm=0.3789, re=7.6383, fe=27.6389) | Val loss: 35.3722 (hm=0.3764, re=7.6371, fe=27.3586) | Val MRE(mm): 43.067 | SDR%(2/2.5/3/4): 1.1/1.5/2.0/3.4 | 93.8s
Epoch 44/200 | Train loss: 35.3096 (hm=0.3803, re=7.6107, fe=27.3185) | Val loss: 35.4570 (hm=0.3795, re=7.6155, fe=27.4620) | Val MRE(mm): 41.746 | SDR%(2/2.5/3/4): 0.3/0.4/0.6/1.6 | 93.7s
Epoch 45/200 | Train loss: 35.0564 (hm=0.3770, re=7.6023, fe=27.0771) | Val loss: 35.1525 (hm=0.3787, re=7.5978, fe=27.1760) | Val MRE(mm): 36.731 | SDR%(2/2.5/3/4): 1.3/2.0/2.7/4.6 | 93.8s
